,Bairro,Distrito
767,Itaquera,Itaquera
768,Cidade São Francisco,Rio Pequeno
769,Cerqueira César,Jardim Paulista
771,Vila Quaquá,Sacomã
772,Jardim Santa Mônica,Pirituba
773,Conjunto Promorar Raposo Tavares,Raposo Tavares
774,Vila Ernesto,Vila Andrade
775,Jardim Cidália,Cidade Ademar
776,Vila Cristina,Sacomã
777,Parque Vila Maria,Vila Maria
778,Chácara São Silvestre,Parelheiros
779,Vila Gomes,Butantã
780,Vila Progresso,Cidade Dutra
784,Vila Central,São Lucas
785,Conjunto Habitacional Cintra Gordinho,Vila Prudente
786,Capela do Socorro,Socorro
787,Jardim Los Angeles,Cidade Ademar
788,Jardim São Mateus,Campo Limpo
789,Jardim Avelino,Vila Prudente
790,Vila Eliete,Mandaqui
791,Vila Homero,Jaraguá
792,Vila Popular,Guaianases
793,Jardim Leme,Campo Limpo
794,Jardim Mália II,Cidade Dutra
795,Imirim,Santana
796,Vila Embira,Aricanduva
797,Lapa de Baixo,Lapa
798,Vila Ré,Penha
799,Lar São Paulo,Vila Sônia
800,Parque Sevilha,Itaquera
802,Piraporinha,Jardim São Luís
803,Jardim Azano I,Tremembé
804,Vila do Bosque,Saúde
805,Jardim Caxingui,Butantã
806,Jardim Duprat,Jardim São Luís
807,Jardim Bélgica,Campo Grande
808,Brás,Brás
809,Vila Anadir,São Lucas
810,Vila Noca,Campo Belo
811,Cidade Nova São Miguel,São Mateus
813,Jardim Prestes Maia,Campo Limpo
814,Três Cruzes,Tremembé
815,Jardim Almeida Prado,Grajaú
816,Vila Olinda,Aricanduva
817,Vila Canero,Belém
818,Jardim Damasceno,Brasilândia
819,Vila Maracanã,Jardim São Luís
820,Residencial Sol Nascente 3,Anhanguera
821,Jardim Recanto do Sol,Grajaú
822,Jardim Paraíso,Mandaqui
823,Jardim Vergueiro,Jardim São Luís
824,Jardim Avenida,Capão Redondo
825,Jardim Maria Duarte,Campo Limpo
826,Vila Pizzotti,Vila Guilherme
827,Vila Mazzei,Tucuruvi
828,Vila Júlio César,Freguesia do Ó
829,Vila Palmas,Vila Andrade
830,Jardim São José,Pirituba
832,Jardim Previdência,Cursino
834,Jaçanã,Jaçanã
835,Jardim Riviera,Jardim São Luís
836,Jardim Bonito,Cidade Dutra
837,Jardim Santo Antônio do Cursino,Sacomã
838,Chácara Dona Olívia,Itaim Paulista
839,Jardim Cambará,Raposo Tavares
840,Paraisópolis,Vila Andrade
841,Jardim Bom Clima,Jabaquara
842,Jardim Vila Rica,Jabaquara
843,Vila Jabaquara,Jabaquara
844,Parque Industrial Tomas Edson,Barra Funda
845,Vila Nova Caledônia,Cidade Ademar
846,Vila Brasílio Machado,Cursino
847,Jardim Nelly,Rio Pequeno
848,Jardim Gilda Maria,Raposo Tavares
849,Vila Vasconcelos,Rio Pequeno
850,Jardim Sipramar,Grajaú
851,Jardim Primavera,Cidade Dutra
853,Jardim Lajeado,São Mateus
854,Vila Feliz,Penha
855,Parque Residencial Júlia,Campo Grande
856,Jardim Edith,Cidade Dutra
857,Vila Santista,Limão
858,Chácara Japonesa,Santo Amaro
859,Jardim Maria do Carmo,Vila Sônia
860,Jardim Zoológico,Jaraguá
861,Jardim Maringa,Cidade Dutra
862,Jardim Nair,Jardim São Luís
865,Santa Etelvina,Cidade Tiradentes
866,Jardim Nardini,São Domingos
867,Sapopemba,Jardim Ângela
868,Toca do Tatu,Grajaú
869,Parque Maria Fernanda,Parelheiros
870,Vila Jaguaré,Jaguaré
871,Vila Clara,Cidade Ademar
874,Jardim Vila Mariana,Vila Mariana
875,Parque Guarani,Itaquera
876,Vila Gumercindo,Cursino
877,Jardim Cordeiro,Santo Amaro
